weighted_rank,station_complex_id,station,passenger_weighted_average_stops,passenger_weighted_closeness
151,N535,"Carroll St (F,G)",8.899596406668953,0.1123646460249192
152,R172,Cathedral Pkwy-110 St (1),8.934124066342829,0.1119303910013137
153,B016,"Church Av (B,Q)",8.953526914270645,0.1116878309045056
154,N536,"Smith-9 Sts (F,G)",8.958995219766937,0.1116196599584762
155,N043,"86 St (B,C)",8.983463257858409,0.1113156442338912
156,B014,Parkside Av (Q),8.98584794930306,0.1112861029523162
157,J009,"Myrtle Av (J,M,Z)",8.995652185650522,0.1111648137747207
158,N203,"161 St-Yankee Stadium (B,D,4)",9.03352930023278,0.1106987055407272
159,R636,"Sterling St (2,5)",9.051033979131445,0.1104846144988135
160,R627,Sutter Av-Rutland Rd (3),9.058881449182811,0.1103889045915496
161,R624,Kingston Av (3),9.066480816855163,0.1102963785177746
162,C014,Prospect Av (R),9.099408459930858,0.1098972536954999
163,D002,8 Av (N),9.113386497474767,0.1097286941881693
164,J003,"Hewes St (J,M)",9.148397584864666,0.1093087604384864
165,C023,Bay Ridge Av (R),9.14877831518682,0.1093042115076738
166,N539A,"7 Av (F,G)",9.151048857214358,0.1092770911403927
167,C020,53 St (R),9.15363922986601,0.1092461670039663
168,E003,Fort Hamilton Pkwy (D),9.157797837654616,0.1091965577017048
169,R519,46 St-Bliss St (7),9.159371215151417,0.1091778001470015
170,R402,Brook Av (6),9.189854870082838,0.1088156466165157
171,R254,110 St (6),9.22782091441773,0.1083679461569936
172,R304,"125 St (2,3)",9.335371930087655,0.1071194599946282
173,R512,"Broadway (N,W)",9.34350529983875,0.1070262142428771
174,N334B,"75 Av (E,F)",9.422480527245728,0.106129165999169
175,N120,"Utica Av (A,C)",9.43699638684684,0.1059659195582385
176,R306,"135 St (2,3)",9.440663098825771,0.1059247628616659
177,H013,Graham Av (L),9.452229137512036,0.1057951500595144
178,R180,157 St (1),9.455178155608989,0.105762153133707
179,N412,Broadway (G),9.456350396334212,0.1057490425045643
180,R183,181 St (1),9.464656663627396,0.1056562361995647
181,N010,175 St (A),9.473254797952023,0.105560340276732
182,N016A,163 St-Amsterdam Av (C),9.485032578540192,0.105429263602372
183,N331,"67 Av (M,R)",9.49403638170695,0.1053292782748119
184,R527,90 St-Elmhurst Av (7),9.494832215827698,0.1053204498266983
185,N119,Kingston-Throop Avs (C),9.518898875563757,0.1050541678268196
186,N111,Clinton-Washington Avs (C),9.570734957336253,0.1044851836831475
187,R523,Woodside-61 St (7),9.577939197766796,0.1044065930417642
188,R310,"3 Av-149 St (2,5)",9.637036920394594,0.1037663348454884
189,N702,96 St (Q),9.717263140109813,0.1029096346966579
190,N037,"103 St (B,C)",9.77276692446046,0.1023251662225852
191,N420B,Clinton-Washington Avs (G),9.786111061844888,0.102185637755421
192,N316,"46 St (M,R)",9.800149041718578,0.1020392644788428
193,R173,116 St-Columbia University (1),9.822469769274903,0.1018073889245291
194,J013,"Gates Av (J,Z)",9.847549833639253,0.1015481025121596
195,N040,"96 St (B,C)",9.871280135884978,0.1013039834990305
196,B019,"Newkirk Plaza (B,Q)",9.889168222044583,0.101120739130601
197,R521,52 St (7),9.895114871974323,0.1010599687763377
198,J012,Kosciuszko St (J),9.925259413355285,0.1007530340873926
199,K017,Central Av (M),9.945079098894066,0.1005522419737419
200,B017,Beverley Rd (Q),9.94974788901724,0.1005050591386162
201,J007,"Flushing Av (J,M)",9.9906710740462,0.1000933763696618
202,R283,167 St (4),10.002848845201417,0.0999715196615933
203,N207,"167 St (B,D)",10.01314019842941,0.0998687704539334
204,R637,"Winthrop St (2,5)",10.033719303809317,0.0996639401323842
205,R628,Saratoga Av (3),10.050365573626618,0.0994988682425763
206,D003,Fort Hamilton Pkwy (N),10.06718398722334,0.0993326436935233
207,J005,"Lorimer St (J,M)",10.073078849068953,0.0992745132827416
208,E004,50 St (D),10.111276087024295,0.0988994852275164
209,N542,"15 St-Prospect Park (F,G)",10.13331872099264,0.0986843528298734
210,C024,77 St (R),10.14020466944546,0.0986173388603493
211,R404,Cypress Av (6),10.16000641184598,0.0984251347355507
212,N124,"Broadway Junction (A,C,J,L,Z)",10.253006972371114,0.0975323632076629
213,N414,Flushing Av (G),10.300090268274776,0.0970865277831682
214,N336,"Kew Gardens-Union Turnpike (E,F)",10.300779544935049,0.0970800312381897
215,R513,"30 Av (N,W)",10.328365233497676,0.0968207433986484
216,H015,Grand St (L),10.337235981466042,0.0967376580928336
217,R178,145 St (1),10.40161414545472,0.0961389247876473
218,N121B,Ralph Av (C),10.43315397695774,0.0958482930673276
219,R308,145 St (3),10.438334526040112,0.0958007235258975
220,R528,Junction Blvd (7),10.442007168427471,0.0957670286823406
221,R185,191 St (1),10.445899583005623,0.0957313433901752
222,N007A,181 St (A),10.463043598864733,0.0955744846660586
223,N330B,"63 Dr-Rego Park (M,R)",10.464294875482333,0.0955630562688923
224,J017,"Chauncey St (J,Z)",10.474753833034535,0.0954676373249241
225,R312,"Jackson Av (2,5)",10.599873611671502,0.0943407475065459
226,N419,Classon Av (G),10.620652438311346,0.0941561740964943
227,R174,125 St (1),10.641724174274469,0.0939697349436495
228,J016,Halsey St (J),10.683678201748336,0.0936007226271898
229,N318,"Northern Blvd (M,R)",10.770467244679518,0.0928464826346311
230,B024,"Kings Hwy (B,Q)",10.828642921456906,0.0923476752584116
231,K019,Knickerbocker Av (M),10.874479243361623,0.0919584264791764
232,B020,Avenue H (Q),10.88477143474838,0.0918714743800329
233,B018,Cortelyou Rd (Q),10.88538919679118,0.091866260537086
234,N415,Myrtle-Willoughby Avs (G),10.922085475432937,0.0915576061228692
235,R284,170 St (4),10.975633391251002,0.0911109149105808
236,N209,"170 St (B,D)",10.995405203102251,0.090947080305677
237,E006,New Utrecht Av (N)/62 St (D),11.016018876597103,0.0907768960095413
238,R639,"Church Av (2,5)",11.01928756338316,0.0907499685662961
239,R629,Rockaway Av (3),11.043583345870374,0.0905503194643737
240,E005,55 St (D),11.049837575802888,0.0904990678043825
241,N543,"Fort Hamilton Pkwy (F,G)",11.10778605775252,0.0900269409944265
242,R406,East 143 St-St Mary's St (6),11.131139888514271,0.0898380588165867
243,C025,86 St (R),11.13366116660661,0.0898177144998195
244,J021,"Van Siclen Av (J,Z)",11.158274229900782,0.0896195934421744
245,N337,"Briarwood-Van Wyck Blvd (E,F)",11.159248536453475,0.0896117688151974
246,H033,Bushwick Av-Aberdeen St (L),11.197098279798189,0.0893088526162354
247,H017,Montrose Av (L),11.200875252643945,0.0892787373704525
248,J020,Alabama Av (J),11.206277217003674,0.0892357007269698
249,N128,"Euclid Av (A,C)",11.22937018205876,0.0890521893736931
250,H035,Atlantic Av (L),11.246574011543595,0.08891596667337
251,N122,Rockaway Av (C),11.249164562482012,0.0888954903669184
252,N125,Liberty Av (C),11.250662279402942,0.0888836563720112
253,N417,Bedford-Nostrand Avs (G),11.29351865942484,0.0885463627551954
254,R514,"Astoria Blvd (N,W)",11.31837688969619,0.0883518908890868
255,R176,137 St-City College (1),11.32608324102932,0.0882917756049548
