weighted_rank,station_complex_id,station,passenger_weighted_average_stops,passenger_weighted_closeness
1,R238,"Grand Central-42 St (S,4,5,6,7)",5.161908367622625,0.1937268019464207
2,A034,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",5.247296511255976,0.1905743267709191
3,N060,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)/Bryant Pk (B,D,F,M)/5 Av (7)",5.302277415878863,0.1885982044253805
4,N305,"Lexington Av-53 St (E,M)/51 St (6)",5.447243464826001,0.1835790903155349
5,A022,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",5.449479188715148,0.1835037744654228
6,A043,"Canal St (J,N,Q,R,W,Z,6)",5.675469245267962,0.1761968846600253
7,A002,"Lexington Av (N,R,W)/59 St (4,5,6)",5.722402117783399,0.174751787696345
8,N512,"14 St (F,M,1,2,3)/6 Av (L)",5.769376834939998,0.1733289449813517
9,R135,"34 St-Penn Station (1,2,3)",5.804933043067296,0.1722672755363264
10,A069,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",5.897691466435232,0.1695578694971024
11,N080,"West 4 St-Washington Sq (A,B,C,D,E,F,M)",5.947382068540469,0.1681412070849867
12,N049,"59 St-Columbus Circle (A,B,C,D,1)",6.03262918048906,0.165765202879407
13,A010,"57 St-7 Av (N,Q,R,W)",6.033781632438816,0.1657335417350539
14,R504,Vernon Blvd-Jackson Av (7),6.038261049846295,0.1656105941337954
15,N307,"Court Sq (E,G,M,7)",6.1177791361752,0.1634580094738749
16,N070,"34 St-Penn Station (A,C,E)",6.132089911671717,0.1630765390599731
17,N056,"50 St (C,E)",6.134685440397584,0.16300754288311
18,R231,33 St (6),6.140179759936646,0.162861681432323
19,R219,Astor Place (6),6.158444884089047,0.1623786554595299
20,R154,50 St (1),6.163704612537169,0.1622400914485695
21,H006,3 Av (L),6.179803053557224,0.1618174545909483
22,R161B,"72 St (1,2,3)",6.186297184677774,0.1616475850007337
23,R217,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",6.214459145105658,0.1609150493470656
24,R226,23 St (6),6.225696652457401,0.1606245944548681
25,A038,"8 St-New York University (R,W)",6.2355127522590985,0.1603717352093786
26,A030,"23 St (R,W)",6.235593554139862,0.160369657085185
27,N078,"14 St (A,C,E)/8 Av (L)",6.242734369846564,0.1601862166088893
28,N500,"47-50 Sts-Rockefeller Center (B,D,F,M)",6.250030824620448,0.1599992108936083
29,A013,"49 St (N,R,W)",6.2624295405447645,0.1596824353113617
30,N303,"5 Av-53 St (E,M)",6.288309628241258,0.1590252482970824
31,R550,34 St-Hudson Yards (7),6.293270032207578,0.1588999033701428
32,R610,"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",6.295286533535533,0.1588490046756273
33,N508,"23 St (F,M)",6.3393633302137165,0.1577445475058908
34,C008,"DeKalb Av (B,Q,R)",6.350917627820087,0.1574575610333091
35,A006,"5 Av-59 St (N,R,W)",6.378139253762766,0.1567855388873883
36,R509,"Queensboro Plaza (N,W,7)",6.409255662649143,0.1560243579964587
37,A027,"28 St (R,W)",6.437776231599035,0.1553331405170038
38,R249,"86 St (4,5,6)",6.506843040420803,0.153684358726337
39,A064,"Bowery (J,Z)",6.566945404724366,0.1522778001596578
40,A047,"City Hall (R,W)",6.571955740060621,0.1521617064315128
41,R116,"Chambers St (1,2,3)",6.584041090629528,0.1518824056889939
42,R215,Spring St (6),6.587162181824173,0.1518104416434865
43,N095,"Fulton St (A,C,J,Z,2,3,4,5)",6.630772982800717,0.1508119796279948
44,A041,"Prince St (R,W)",6.663685486271085,0.1500671065674181
45,R228,28 St (6),6.683440243780496,0.1496235416977931
46,N076,"23 St (C,E)",6.703175081700489,0.1491830345786397
47,R246,68 St-Hunter College (6),6.703299228363084,0.1491802716741015
48,R507,Hunters Point Av (7),6.713813498591531,0.1489466456299071
49,N089,"Canal St (A,C,E)",6.748257706874589,0.1481863976506527
50,N520,"Grand St (B,D)",6.754414889732107,0.1480513140405655
51,R125,Christopher St-Sheridan Sq (1),6.757880937324689,0.1479753800450767
52,R129,18 St (1),6.758407768899815,0.1479638450644696
53,N601,"Lexington Av-63 St (F,Q)",6.768345182292537,0.1477466017271426
54,R133,28 St (1),6.792910657790965,0.14721229976035
55,N026,"125 St (A,B,C,D)",6.818729754008664,0.1466548809053636
56,N309A,"Queens Plaza (E,M,R)",6.877075978424239,0.1454106371861159
57,N086,"Spring St (C,E)",6.886367636642857,0.1452144370972772
58,N094,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",6.941124024431726,0.1440688851661702
59,N301,"7 Av (B,D,E)",6.941274391907535,0.1440657642299585
60,R160,66 St-Lincoln Center (1),6.948365038880271,0.1439187484256224
61,N600,57 St (F),7.000577139035181,0.1428453654805123
62,N046,"72 St (B,C)",7.014266536116028,0.1425665812456742
63,N401,21 St (G),7.030549257602114,0.1422363976639098
64,R168,"96 St (1,2,3)",7.041348096709288,0.1420182593255602
65,N103,"Jay St-MetroTech (A,C,F,R)",7.052936004534873,0.1417849246550689
66,N523,2 Av (F),7.0763071090683205,0.141316647876757
67,R622,"Franklin Av (2,3,4,5)/Botanic Garden (S)",7.091338149890477,0.1410171083176233
68,H007,1 Av (L),7.098813604571932,0.1408686092780289
69,R608,"Nevins St (2,3,4,5)",7.170562083108586,0.1394590812281872
70,R162,79 St (1),7.173144947144749,0.1394088656187057
71,C018,"36 St (D,N,R)",7.221831327972291,0.1384690329344447
72,B004,"7 Av (B,Q)",7.229601760208941,0.1383202053402038
73,R258,"125 St (4,5,6)",7.256590820039597,0.1378057582134062
74,C010,Union St (R),7.258766258739807,0.137764458084866
75,N100,"High St (A,C)",7.282455004873538,0.1373163307333562
76,R617,"Bergen St (2,3)",7.289895470514501,0.1371761781831726
77,N525,"Delancey St (F)/Essex St (J,M,Z)",7.292564663321002,0.1371259695549417
78,R131,23 St (1),7.359211486249243,0.13588412316571
79,R510,"39 Av (N,W)",7.385638303483783,0.1353979113123239
80,R516,33 St-Rawson St (7),7.387097078461907,0.1353711734634755
81,R106,WTC Cortlandt (1),7.478998890912876,0.1337077347631404
82,R247,77 St (6),7.487740151000488,0.1335516430636796
83,R251,96 St (6),7.491734158438553,0.1334804437599561
84,N602,Roosevelt Island (F),7.514356960207103,0.13307858613792
85,N019,"145 St (A,B,C,D)",7.562402185975448,0.1322331152731483
86,R117,Franklin St (1),7.575116468938421,0.1320111715906251
87,R203,"Wall St (4,5)",7.592560959703665,0.131707865805404
88,R111,"Wall St (2,3)",7.598170788491998,0.1316106241668817
89,R525,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",7.621659074899918,0.1312050290065134
90,A083,"Broad St (J,Z)",7.628643583755297,0.1310849024496878
91,N024,"135 St (B,C)",7.690003369239991,0.1300389547292006
92,N700,72 St (Q),7.740559742403862,0.1291896236549743
93,R123,Houston St (1),7.748956315633581,0.1290496370436999
94,N030,"116 St (B,C)",7.805583877304174,0.128113414155684
95,A054,"Rector St (R,W)",7.837612518356996,0.1275898748066242
96,R602,"Court St (R)/Borough Hall (2,3,4,5)",7.852297366905831,0.1273512646393887
97,N312,"36 St (M,R)",7.855748295992111,0.1272953208684379
98,N108,"Hoyt-Schermerhorn Sts (A,C,G)",7.879882186716108,0.1269054506532849
99,R301,"Central Park North-110 St (2,3)",7.887286279748022,0.1267863197216099
100,H009,Bedford Av (L),7.903685206223725,0.1265232576839667
101,N405,Greenpoint Av (G),7.932294902729613,0.1260669216491038
102,B009,Park Pl (S),7.937855595053775,0.1259786082053594
103,N532,"Bergen St (F,G)",7.938234608970252,0.1259725933106076
104,N530,York St (F),7.97163524154687,0.1254447763475381
105,N044,"81 St-Museum of Natural History (B,C)",7.997389028370322,0.1250408097508514
106,R170,103 St (1),8.009056282771427,0.1248586555885662
107,R259,"138 St-Grand Concourse (4,5)",8.015461443523716,0.1247588809510117
108,R103,Rector St (1),8.017479871720123,0.1247274724726503
109,B013,"Prospect Park (B,Q,S)",8.020823168878081,0.1246754826711727
110,R606,"Hoyt St (2,3)",8.027880720975286,0.1245658766936079
111,R164,86 St (1),8.028195859176263,0.1245609869939826
112,R626,"Crown Heights-Utica Av (3,4)",8.069691792005846,0.1239204700470269
113,R635,"President St (2,5)",8.07052199538323,0.1239077225205573
114,R621,"Eastern Pkwy-Brooklyn Museum (2,3)",8.085822082004011,0.1236732628863579
115,R623,Nostrand Av (3),8.088127174739794,0.123638016365905
116,R201,"Bowling Green (4,5)",8.1087164393002,0.1233240806341851
117,R600,"Clark St (2,3)",8.114326268088531,0.1232388206933127
118,N529,East Broadway (F),8.142661163509274,0.1228099732899884
119,J001,"Marcy Av (J,M,Z)",8.152494896821043,0.122661836978265
120,C021,"59 St (N,R)",8.160354904967967,0.1225436897837871
121,C012,"4 Av (F,G)/9 St (R)",8.1728636654941,0.122356133777443
122,N603,21 St-Queensbridge (F),8.173914214428276,0.122340408006098
123,C016,25 St (R),8.18671244724653,0.1221491540644418
